transaction_line_id,order_id,order_date,month,customer_id,product_id,variant_id,product_title,category,channel,device,province,city,quantity,unit_price_zar,discount_pct,gross_revenue_zar,discount_amount_zar,net_revenue_zar,estimated_unit_cost_zar,gross_margin_zar,return_flag,return_amount_zar,fulfillment_days,payment_method,campaign,source_system,ingested_at_utc,raw_file_name,data_quality_issue,source_issue_text,order_date_clean,silver_quality_status
11,10000007,2024-07-27 00:00:00,2024-07,84211,9028211343584,47896593891552,Goggle Velocity 5.5 Cryztal,Goggles,Direct,Desktop,Free State,Bloemfontein,1,1799.0,0.0408,1799.0,73.39920000000001,1725.6008,843.41,882.1908,0,0.0,3,Eft,Always On,shopify_public_catalog_plus_synthetic_orders,2026-07-17 21:39:19,bronze/leatt/orders/yyyy=2026/mm=07/orders_extract_001.csv,,,2024-07-27,clean
12,10000007,2025-01-15 00:00:00,2025-01,29889,9028225532128,47896752193760,Shoes ProClip 8.0 Endurance - Women,Footwear,Email,Mobile,Free State,Bloemfontein,3,2999.0,0.0115,8997.0,103.46549999999999,8893.5345,1718.01,3739.5045,0,0.0,2,Eft,Crm Lifecycle,shopify_public_catalog_plus_synthetic_orders,2026-07-17 21:39:19,bronze/leatt/orders/yyyy=2026/mm=07/orders_extract_001.csv,,,2025-01-15,clean
13,10000008,2024-04-26 00:00:00,2024-04,178158,9028215963872,47896646320352,Foam/inner frame Velocity 6.5 Black Ventilated,Goggles,Direct,Desktop,Gauteng,Johannesburg,2,499.0,0.0389,998.0,38.822199999999995,959.1778,232.21,494.75780000000003,0,0.0,1,Instant Eft,Always On,shopify_public_catalog_plus_synthetic_orders,2026-07-17 21:39:19,bronze/leatt/orders/yyyy=2026/mm=07/orders_extract_001.csv,,,2024-04-26,clean
14,10000009,2025-04-03 00:00:00,2025-04,36602,9028229791968,47896783093984,Shorts MTB Enduro 3.0 - Women,Apparel,Direct,Desktop,Western Cape,Cape Town,1,1699.0,0.0285,1699.0,48.4215,1650.5785,819.33,831.2485,0,0.0,1,Card,Always On,shopify_public_catalog_plus_synthetic_orders,2026-07-17 21:39:19,bronze/leatt/orders/yyyy=2026/mm=07/orders_extract_001.csv,,,2025-04-03,clean
15,10000010,2026-01-08 00:00:00,2026-01,69346,9028214948064,47896629346528,Jersey Moto 4.5 Lite V25-,Apparel,Direct,Mobile,Western Cape,Cape Town,1,899.0,0.0346,899.0,31.1054,867.8946,409.91,457.98459999999994,0,0.0,2,Card,Always On,shopify_public_catalog_plus_synthetic_orders,2026-07-17 21:39:19,bronze/leatt/orders/yyyy=2026/mm=07/orders_extract_001.csv,,,2026-01-08,clean
16,10000010,2025-08-19 00:00:00,2025-08,10773,9193601859808,48753632968928,Elbow Protector Insert 3DF CE Level 1 - Body Protectors AirFit - Junior - Pair,Body Protection,Paid Search,Mobile,Western Cape,Cape Town,1,299.0,0.0484,299.0,14.471599999999999,284.5284,151.28,133.24839999999998,0,0.0,2,Card,Always On,shopify_public_catalog_plus_synthetic_orders,2026-07-17 21:39:19,bronze/leatt/orders/yyyy=2026/mm=07/orders_extract_001.csv,,,2025-08-19,clean
17,10000011,2024-03-29 00:00:00,2024-03,175645,9028235395296,47896868258016,Jersey MTB Gravity 5.0,Apparel,Email,Mobile,Western Cape,Cape Town,1,1299.0,0.0068,1299.0,8.8332,1290.1668,601.89,688.2768,0,0.0,5,Eft,Crm Lifecycle,shopify_public_catalog_plus_synthetic_orders,2026-07-17 21:39:19,bronze/leatt/orders/yyyy=2026/mm=07/orders_extract_001.csv,,,2024-03-29,clean
18,10000012,2025-08-19 00:00:00,2025-08,110556,9028233724128,47896837652704,Jersey MTB Endurance 3.0 - Women,Apparel,Paid Search,Desktop,Gauteng,Johannesburg,1,999.0,0.7,999.0,699.3,299.70000000000005,464.18,-164.47999999999996,0,0.0,3,Card,Always On,shopify_public_catalog_plus_synthetic_orders,2026-07-17 21:39:19,bronze/leatt/orders/yyyy=2026/mm=07/orders_extract_001.csv,invalid_discount;,invalid_discount;,2025-08-19,corrected
19,10000013,2026-05-01 00:00:00,2026-05,46903,9028228874464,47896771526880,Strap kit ADV 7.5/8.5 Black 4-pcs,Footwear,Direct,Mobile,Gauteng,Johannesburg,2,499.0,0.0089,998.0,8.8822,989.1178,282.91,423.29779999999994,0,0.0,1,Card,Always On,shopify_public_catalog_plus_synthetic_orders,2026-07-17 21:39:19,bronze/leatt/orders/yyyy=2026/mm=07/orders_extract_001.csv,,,2026-05-01,clean
20,10000013,2024-04-18 00:00:00,2024-04,74109,9028221305056,47896702419168,Sole 4.5/5.5 Moto - Pair,Footwear,Paid Social,Desktop,Northern Cape,Kimberley,2,1299.0,0.0354,2598.0,91.9692,2506.0308,769.51,967.0108,0,0.0,2,Card,Adventure Social,shopify_public_catalog_plus_synthetic_orders,2026-07-17 21:39:19,bronze/leatt/orders/yyyy=2026/mm=07/orders_extract_001.csv,,,2024-04-18,clean
21,10000014,2026-06-08 00:00:00,2026-06,32588,9028217962720,47896665948384,Gloves ADV HydraDri 7.5 Short,Gloves,Email,Mobile,Western Cape,Cape Town,1,1649.0,0.0263,1649.0,43.368700000000004,1605.6313,730.02,875.6113,0,0.0,5,Card,Crm Lifecycle,shopify_public_catalog_plus_synthetic_orders,2026-07-17 21:39:19,bronze/leatt/orders/yyyy=2026/mm=07/orders_extract_001.csv,,,2026-06-08,clean
22,10000015,2026-04-23 00:00:00,2026-04,177845,9028233855200,47896840569056,Jacket ADV FlowTour 4.5 Short,Apparel,Paid Search,Mobile,Northern Cape,Kimberley,1,5399.0,0.012,5399.0,64.788,5334.212,2420.83,2913.3820000000005,0,0.0,1,Card,Always On,shopify_public_catalog_plus_synthetic_orders,2026-07-17 21:39:19,bronze/leatt/orders/yyyy=2026/mm=07/orders_extract_001.csv,,,2026-04-23,clean
23,10000015,2025-01-24 00:00:00,2025-01,35701,9028214128864,47896619745504,Gloves MTB 1.0 GripR - Women,Gloves,Paid Search,Mobile,Kwazulu-Natal,Durban,2,399.0,0.0025,798.0,1.995,796.005,186.61,422.78499999999997,0,0.0,3,Instant Eft,Always On,shopify_public_catalog_plus_synthetic_orders,2026-07-17 21:39:19,bronze/leatt/orders/yyyy=2026/mm=07/orders_extract_001.csv,,,2025-01-24,clean
24,10000016,2025-11-26 00:00:00,2025-11,97844,9028192764128,47896488706272,FirstTurn Tear-Off Kit for Velocity 6.5 Roll-Off,Goggles,Paid Search,Mobile,Western Cape,Cape Town,1,299.0,0.1217,299.0,36.3883,262.6117,151.55,111.06169999999997,0,0.0,2,Card,Peak Season,shopify_public_catalog_plus_synthetic_orders,2026-07-17 21:39:19,bronze/leatt/orders/yyyy=2026/mm=07/orders_extract_001.csv,,,2025-11-26,clean
25,10000017,2025-03-14 00:00:00,2025-03,64635,9028207706336,47896562467040,Long Sleeve Shirt Core,Apparel,Paid Social,Mobile,Kwazulu-Natal,Durban,2,799.0,0.027,1598.0,43.146,1554.854,370.19,814.474,0,0.0,5,Payflex,Adventure Social,shopify_public_catalog_plus_synthetic_orders,2026-07-17 21:39:19,bronze/leatt/orders/yyyy=2026/mm=07/orders_extract_001.csv,,,2025-03-14,clean
26,10000018,2025-06-21 00:00:00,2025-06,10887,9028232610016,47896822350048,Ride Kit MTB Gravity 1.0,Parts & Accessories,Paid Search,Desktop,Western Cape,Cape Town,1,1799.0,0.0376,1799.0,67.64240000000001,1731.3576,734.0,997.3576,0,0.0,2,Card,Always On,shopify_public_catalog_plus_synthetic_orders,2026-07-17 21:39:19,bronze/leatt/orders/yyyy=2026/mm=07/orders_extract_001.csv,,,2025-06-21,clean
27,10000018,2024-12-31 00:00:00,2024-12,120292,9028234903776,47896857510112,Jersey MTB Trail 3.0,Apparel,Email,Mobile,Western Cape,Cape Town,1,849.0,0.0485,849.0,41.176500000000004,807.8235,366.4,441.4235,0,0.0,1,Instant Eft,Peak Season,shopify_public_catalog_plus_synthetic_orders,2026-07-17 21:39:19,bronze/leatt/orders/yyyy=2026/mm=07/orders_extract_001.csv,standardisation_needed;,standardisation_needed;,2024-12-31,corrected
28,10000019,2024-03-21 00:00:00,2024-03,156172,9028207706336,47896562532576,Long Sleeve Shirt Core,Apparel,Organic Search,Mobile,Mpumalanga,Mbombela,1,799.0,0.0033,799.0,2.6367,796.3633,364.29,432.07329999999996,0,0.0,1,Card,Always On,shopify_public_catalog_plus_synthetic_orders,2026-07-17 21:39:19,bronze/leatt/orders/yyyy=2026/mm=07/orders_extract_001.csv,,,2024-03-21,clean
29,10000020,2025-06-14 00:00:00,2025-06,155651,9028226941152,47896759632096,Knee & Shin Guard 3.0 EXT,Body Protection,Email,Mobile,Western Cape,Cape Town,1,1499.0,0.0387,1499.0,58.0113,1440.9887,752.28,688.7087000000001,0,0.0,4,Gift Card,Crm Lifecycle,shopify_public_catalog_plus_synthetic_orders,2026-07-17 21:39:19,bronze/leatt/orders/yyyy=2026/mm=07/orders_extract_001.csv,,,2025-06-14,clean
30,10000021,2024-09-17 00:00:00,2024-09,24203,9028217471200,47896662343904,Jersey MTB Gravity 2.0 V22 - Women,Apparel,Organic Search,Desktop,Western Cape,Cape Town,3,349.0,0.0179,1047.0,18.7413,1028.2587,172.63,510.3687000000001,0,0.0,2,Payflex,Always On,shopify_public_catalog_plus_synthetic_orders,2026-07-17 21:39:19,bronze/leatt/orders/yyyy=2026/mm=07/orders_extract_001.csv,,,2024-09-17,clean
31,10000021,2025-11-22 00:00:00,2025-11,117652,9028220387552,47896690065632,T-Shirt Core,Apparel,Paid Social,Mobile,Gauteng,Johannesburg,2,499.0,0.1994,998.0,199.00119999999998,798.9988000000001,232.59,333.81880000000007,0,0.0,3,Card,Peak Season,shopify_public_catalog_plus_synthetic_orders,2026-07-17 21:39:19,bronze/leatt/orders/yyyy=2026/mm=07/orders_extract_001.csv,,,2025-11-22,clean
32,10000022,2025-10-02 00:00:00,2025-10,32099,9028207968480,47896564760800,Knee & Shin Guard Dual Axis Pro,Body Protection,Paid Social,Desktop,Gauteng,Johannesburg,1,2699.0,0.0036,2699.0,9.7164,2689.2836,1367.58,1321.7036000000003,0,0.0,3,Card,Adventure Social,shopify_public_catalog_plus_synthetic_orders,2026-07-17 21:39:19,bronze/leatt/orders/yyyy=2026/mm=07/orders_extract_001.csv,,,2025-10-02,clean
33,10000023,2025-12-14 00:00:00,2025-12,137206,9028233068768,47896827134176,Glove ADV HydraDri 6.5,Gloves,Paid Search,Desktop,Western Cape,Cape Town,1,1799.0,0.2266,1799.0,407.6534,1391.3466,819.53,571.8166000000001,0,0.0,2,Gift Card,Peak Season,shopify_public_catalog_plus_synthetic_orders,2026-07-17 21:39:19,bronze/leatt/orders/yyyy=2026/mm=07/orders_extract_001.csv,,,2025-12-14,clean
34,10000023,2026-02-11 00:00:00,2026-02,72792,9028216389856,47896651530464,Jacket ADV FlowTour 5.5 - Women,Apparel,Organic Search,Desktop,Gauteng,Johannesburg,1,7999.0,0.0066,7999.0,52.7934,7946.2066,3368.89,4577.3166,0,0.0,4,Payflex,Always On,shopify_public_catalog_plus_synthetic_orders,2026-07-17 21:39:19,bronze/leatt/orders/yyyy=2026/mm=07/orders_extract_001.csv,,,2026-02-11,clean
35,10000024,2024-11-14 00:00:00,2024-11,128349,9028234215648,47896845713632,Gloves MTB 3.0 Endurance,Gloves,Paid Search,Mobile,Western Cape,Cape Town,1,459.0,0.1882,459.0,86.38380000000001,372.6162,202.27,170.34619999999998,0,0.0,2,Card,Peak Season,shopify_public_catalog_plus_synthetic_orders,2026-07-17 21:39:19,bronze/leatt/orders/yyyy=2026/mm=07/orders_extract_001.csv,,,2024-11-14,clean
36,10000025,2024-04-21 00:00:00,2024-04,156549,9028197122272,47896499060960,Kidney Belt 3DF 3.5,Body Protection,Paid Search,Mobile,Gauteng,Johannesburg,2,1599.0,0.0127,3198.0,40.614599999999996,3157.3854,834.83,1487.7254,0,0.0,7,Eft,Always On,shopify_public_catalog_plus_synthetic_orders,2026-07-17 21:39:19,bronze/leatt/orders/yyyy=2026/mm=07/orders_extract_001.csv,,,2024-04-21,clean
37,10000026,2025-01-02 00:00:00,2025-01,78047,9028219142368,47896676958432,Shorts MTB All Mountain 2.0 V24 - Women,Apparel,Direct,Mobile,Gauteng,Johannesburg,1,1189.0,0.016,1189.0,19.024,1169.976,556.46,613.5160000000001,0,0.0,1,Card,Always On,shopify_public_catalog_plus_synthetic_orders,2026-07-17 21:39:19,bronze/leatt/orders/yyyy=2026/mm=07/orders_extract_001.csv,,,2025-01-02,clean
38,10000026,2024-05-18 00:00:00,2024-05,73060,9028235624672,47896872648928,Jersey MTB Enduro 4.0,Apparel,Paid Social,Mobile,Gauteng,Johannesburg,1,999.0,0.0522,999.0,52.147800000000004,946.8522,464.62,482.23220000000003,0,0.0,4,Payflex,Adventure Social,shopify_public_catalog_plus_synthetic_orders,2026-07-17 21:39:19,bronze/leatt/orders/yyyy=2026/mm=07/orders_extract_001.csv,,,2024-05-18,clean
39,10000027,2025-10-13 00:00:00,2025-10,125192,9028234477792,47896850170080,Jersey MTB Gravity 4.0,Apparel,Organic Search,Desktop,Gauteng,Johannesburg,2,999.0,0.0024,1998.0,4.7951999999999995,1993.2048,463.59,1066.0248000000001,1,1993.2048,5,Card,Always On,shopify_public_catalog_plus_synthetic_orders,2026-07-17 21:39:19,bronze/leatt/orders/yyyy=2026/mm=07/orders_extract_001.csv,,,2025-10-13,clean
40,10000028,2026-02-22 00:00:00,2026-02,89125,9028214882528,47896627675360,Gloves MTB 3.0 Lite,Gloves,Organic Search,Mobile,Kwazulu-Natal,Durban,1,999.0,0.0386,999.0,38.5614,960.4386,435.65,524.7886,0,0.0,4,Card,Always On,shopify_public_catalog_plus_synthetic_orders,2026-07-17 21:39:19,bronze/leatt/orders/yyyy=2026/mm=07/orders_extract_001.csv,,,2026-02-22,clean
41,10000028,2025-08-30 00:00:00,2025-08,137219,9028221108448,47896699273440,Jacket ADV DriTour 7.5,Apparel,Organic Search,Desktop,Western Cape,Cape Town,1,10799.0,0.0173,10799.0,186.8227,10612.1773,5219.91,5392.2672999999995,0,0.0,1,Eft,Always On,shopify_public_catalog_plus_synthetic_orders,2026-07-17 21:39:19,bronze/leatt/orders/yyyy=2026/mm=07/orders_extract_001.csv,,,2025-08-30,clean
42,10000029,2025-02-11 00:00:00,2025-02,163928,9028211114208,47896591696096,Helmet MTB AllMtn 3.0,Helmet,Paid Search,Mobile,Western Cape,Cape Town,3,2799.0,0.0419,8397.0,351.8343,8045.1657,1582.04,3299.0456999999997,0,0.0,3,Instant Eft,Always On,shopify_public_catalog_plus_synthetic_orders,2026-07-17 21:39:19,bronze/leatt/orders/yyyy=2026/mm=07/orders_extract_001.csv,,,2025-02-11,clean
43,10000030,2025-05-14 00:00:00,2025-05,67571,9028233756896,47896838734048,Jacket MTB HydraDri 2.0,Body Protection,Direct,Mobile,Gauteng,Johannesburg,2,1899.0,0.0208,3798.0,78.99839999999999,3719.0016,1011.84,1695.3216,0,0.0,2,Eft,Always On,shopify_public_catalog_plus_synthetic_orders,2026-07-17 21:39:19,bronze/leatt/orders/yyyy=2026/mm=07/orders_extract_001.csv,,,2025-05-14,clean
44,10000031,2025-04-03 00:00:00,2025-04,162454,9028236378336,47896885559520,Jersey MTB Trail 6.0 Cargo - Long Sleeve,Apparel,Paid Search,Mobile,Western Cape,Cape Town,1,1699.0,0.0335,1699.0,56.916500000000006,1642.0835,755.17,886.9135,0,0.0,2,Card,Always On,shopify_public_catalog_plus_synthetic_orders,2026-07-17 21:39:19,bronze/leatt/orders/yyyy=2026/mm=07/orders_extract_001.csv,,,2025-04-03,clean
45,10000031,2024-04-29 00:00:00,2024-04,93175,9028233396448,47896831623392,Shoes Flat 1.0 Hi,Footwear,Marketplace,Tablet,Western Cape,Cape Town,1,1199.0,0.0381,1199.0,45.6819,1153.3181,676.42,476.8981,0,0.0,3,Card,Always On,shopify_public_catalog_plus_synthetic_orders,2026-07-17 21:39:19,bronze/leatt/orders/yyyy=2026/mm=07/orders_extract_001.csv,,,2024-04-29,clean
46,10000032,2025-02-26 00:00:00,2025-02,142565,9028232478944,47896820875488,Shoes ProClip 6.0 Trail Boa,Footwear,Paid Search,Mobile,Gauteng,Johannesburg,2,3999.0,0.0422,7998.0,337.5156,7660.4844,2336.41,2987.6644000000006,0,0.0,2,Card,Always On,shopify_public_catalog_plus_synthetic_orders,2026-07-17 21:39:19,bronze/leatt/orders/yyyy=2026/mm=07/orders_extract_001.csv,,,2025-02-26,clean
47,10000033,2025-12-29 00:00:00,2025-12,72784,9028225368288,47896749932768,Vest MTB Endurance 2.0,Body Protection,Organic Search,Mobile,Gauteng,Johannesburg,2,1189.0,0.1449,2378.0,344.5722,2033.4278,613.28,806.8678,0,0.0,3,Payflex,Peak Season,shopify_public_catalog_plus_synthetic_orders,2026-07-17 21:39:19,bronze/leatt/orders/yyyy=2026/mm=07/orders_extract_001.csv,,,2025-12-29,clean
48,10000034,2024-08-11 00:00:00,2024-08,58913,9028196172000,47896496406752,Strap kit Z-Frame - Pair,Body Protection,Organic Search,Desktop,Gauteng,Johannesburg,1,899.0,0.0115,899.0,10.3385,888.6615,472.68,415.98150000000004,0,0.0,5,Gift Card,Always On,shopify_public_catalog_plus_synthetic_orders,2026-07-17 21:39:19,bronze/leatt/orders/yyyy=2026/mm=07/orders_extract_001.csv,,,2024-08-11,clean
49,10000034,2026-01-27 00:00:00,2026-01,22711,9028233658592,47896836636896,Jersey MTB Trail 3.0 - Women,Apparel,Paid Search,Desktop,Kwazulu-Natal,Durban,1,699.0,0.0308,699.0,21.5292,677.4708,323.8,353.67080000000004,1,677.4708,3,Card,Always On,shopify_public_catalog_plus_synthetic_orders,2026-07-17 21:39:19,bronze/leatt/orders/yyyy=2026/mm=07/orders_extract_001.csv,,,2026-01-27,clean
50,10000035,2026-04-27 00:00:00,2026-04,58857,9028214030560,47896617746656,Jersey MTB Endurance 5.0 Cargo - Women,Apparel,Paid Social,Mobile,Eastern Cape,Gqeberha,1,1599.0,0.0462,1599.0,73.8738,1525.1262,765.41,759.7162,0,0.0,4,Card,Adventure Social,shopify_public_catalog_plus_synthetic_orders,2026-07-17 21:39:19,bronze/leatt/orders/yyyy=2026/mm=07/orders_extract_001.csv,,,2026-04-27,clean
51,10000036,2026-03-24 00:00:00,2026-03,57037,9028200792288,47896512757984,Shorts MTB Enduro 3.0 V24,Apparel,Email,Mobile,Western Cape,Cape Town,1,1299.0,0.0798,1299.0,103.66019999999999,1195.3398,594.98,600.3598,0,0.0,2,Card,Crm Lifecycle,shopify_public_catalog_plus_synthetic_orders,2026-07-17 21:39:19,bronze/leatt/orders/yyyy=2026/mm=07/orders_extract_001.csv,,,2026-03-24,clean
52,10000036,2024-07-22 00:00:00,2024-07,125541,9028213014752,47896609390816,Gloves MTB 1.0 GripR - Junior,Gloves,Paid Social,Mobile,Limpopo,Polokwane,5,499.0,0.0175,2495.0,43.6625,2451.3375,215.43,1374.1875,0,0.0,2,Eft,Adventure Social,shopify_public_catalog_plus_synthetic_orders,2026-07-17 21:39:19,bronze/leatt/orders/yyyy=2026/mm=07/orders_extract_001.csv,,,2024-07-22,clean
53,10000037,2024-05-10 00:00:00,2024-05,121650,9028218290400,47896669978848,Visor Moto 2.5 - v23,Helmet,Paid Social,Desktop,Northern Cape,Kimberley,2,599.0,0.0306,1198.0,36.6588,1161.3412,334.13,493.0812000000001,0,0.0,3,Card,Adventure Social,shopify_public_catalog_plus_synthetic_orders,2026-07-17 21:39:19,bronze/leatt/orders/yyyy=2026/mm=07/orders_extract_001.csv,,,2024-05-10,clean
54,10000038,2025-09-11 00:00:00,2025-09,110509,9028219830496,47896683544800,Unknown Product - Needs Catalog Mapping,Apparel,Email,Mobile,Western Cape,Cape Town,1,899.0,0.0296,899.0,26.610400000000002,872.3896,412.2,460.1896,0,0.0,3,Card,Crm Lifecycle,shopify_public_catalog_plus_synthetic_orders,2026-07-17 21:39:19,bronze/leatt/orders/yyyy=2026/mm=07/orders_extract_001.csv,missing_product_title;,missing_product_title;,2025-09-11,corrected
55,10000039,2025-07-09 00:00:00,2025-07,15350,9028212621536,47896605130976,Knee Protector Inserts 3DF CE Level 2 Pair,Body Protection,Paid Social,Mobile,Gauteng,Johannesburg,1,599.0,0.0332,599.0,19.8868,579.1132,332.62,246.4932,0,0.0,7,Card,Adventure Social,shopify_public_catalog_plus_synthetic_orders,2026-07-17 21:39:19,bronze/leatt/orders/yyyy=2026/mm=07/orders_extract_001.csv,,,2025-07-09,clean
56,10000039,2026-06-05 00:00:00,2026-06,4904,9028201349344,47896515608800,Thoracic Pack 4.5 2023,Body Protection,Paid Social,Mobile,Mpumalanga,Mbombela,1,1299.0,0.0247,1299.0,32.0853,1266.9147,635.86,631.0547,0,0.0,2,Payflex,Adventure Social,shopify_public_catalog_plus_synthetic_orders,2026-07-17 21:39:19,bronze/leatt/orders/yyyy=2026/mm=07/orders_extract_001.csv,,,2026-06-05,clean
57,10000040,2025-10-20 00:00:00,2025-10,13597,9028211769568,47896598184160,Jacket MTB HydraDri 5.0,Body Protection,Marketplace,Mobile,Western Cape,Cape Town,1,5299.0,0.0423,5299.0,224.1477,5074.8523000000005,2816.29,2258.5623000000005,0,0.0,2,Eft,Always On,shopify_public_catalog_plus_synthetic_orders,2026-07-17 21:39:19,bronze/leatt/orders/yyyy=2026/mm=07/orders_extract_001.csv,,,2025-10-20,clean
58,10000041,2026-02-27 00:00:00,2026-02,139474,9028214980832,47896630427872,Cheek Pads Moto 8.5/9.5 MTB 8.0 - v21,Helmet,Paid Search,Mobile,Mpumalanga,Mbombela,3,799.0,0.0132,2397.0,31.6404,2365.3596,428.68,1079.3195999999998,0,0.0,1,Eft,Always On,shopify_public_catalog_plus_synthetic_orders,2026-07-17 21:39:19,bronze/leatt/orders/yyyy=2026/mm=07/orders_extract_001.csv,,,2026-02-27,clean
59,10000042,2025-03-18 00:00:00,2025-03,127412,9028236509408,47896894996704,Jersey MTB Trail 3.0 - Long Sleeve,Apparel,Direct,Mobile,Western Cape,Cape Town,3,899.0,0.0037,2697.0,9.978900000000001,2687.0211,430.7,1394.9211,0,0.0,1,Instant Eft,Always On,shopify_public_catalog_plus_synthetic_orders,2026-07-17 21:39:19,bronze/leatt/orders/yyyy=2026/mm=07/orders_extract_001.csv,negative_quantity;,negative_quantity;,2025-03-18,corrected
60,10000042,2025-06-27 00:00:00,2025-06,85827,9028222157024,47896714871008,Knee cup Z-Frame,Body Protection,Email,Mobile,Gauteng,Johannesburg,4,899.0,0.0208,3596.0,74.79679999999999,3521.2032,455.92,1697.5231999999999,0,0.0,2,Gift Card,Crm Lifecycle,shopify_public_catalog_plus_synthetic_orders,2026-07-17 21:39:19,bronze/leatt/orders/yyyy=2026/mm=07/orders_extract_001.csv,,,2025-06-27,clean
