transaction_line_id,order_id,order_date,month,customer_id,product_id,variant_id,product_title,category,channel,device,province,city,quantity,unit_price_zar,discount_pct,gross_revenue_zar,discount_amount_zar,net_revenue_zar,estimated_unit_cost_zar,gross_margin_zar,return_flag,return_amount_zar,fulfillment_days,payment_method,campaign,source_system,ingested_at_utc,raw_file_name,data_quality_issue
15,10000010,2026-01-08 00:00:00,2026-01,69346,9028214948064,47896629346528,Jersey Moto 4.5 Lite V25-,Apparel,Direct,Mobile,Western Cape,Cape Town,1,899.0,0.0346,899.0,31.07,867.93,409.91,458.02,0,0.0,2,Card,Always On,shopify_public_catalog_plus_synthetic_orders,2026-07-17 21:39:19,bronze/leatt/orders/yyyy=2026/mm=07/orders_extract_001.csv,
16,10000010,2025-08-19 00:00:00,2025-08,10773,9193601859808,48753632968928,Elbow Protector Insert 3DF CE Level 1 - Body Protectors AirFit - Junior - Pair,Body Protection,Paid Search,Mobile,Western Cape,Cape Town,1,299.0,0.0484,299.0,14.48,284.52,151.28,133.24,0,0.0,2,Card,Always On,shopify_public_catalog_plus_synthetic_orders,2026-07-17 21:39:19,bronze/leatt/orders/yyyy=2026/mm=07/orders_extract_001.csv,
17,10000011,2024-03-29 00:00:00,2024-03,175645,9028235395296,47896868258016,Jersey MTB Gravity 5.0,Apparel,Email,Mobile,Western Cape,Cape Town,1,1299.0,0.0068,1299.0,8.79,1290.21,601.89,688.33,0,0.0,5,EFT,CRM Lifecycle,shopify_public_catalog_plus_synthetic_orders,2026-07-17 21:39:19,bronze/leatt/orders/yyyy=2026/mm=07/orders_extract_001.csv,
18,10000012,2025-08-19 00:00:00,2025-08,110556,9028233724128,47896837652704,Jersey MTB Endurance 3.0 - Women,Apparel,Paid Search,Desktop,Gauteng,Johannesburg,1,999.0,1.25,999.0,18.62,980.38,464.18,516.2,0,0.0,3,Card,Always On,shopify_public_catalog_plus_synthetic_orders,2026-07-17 21:39:19,bronze/leatt/orders/yyyy=2026/mm=07/orders_extract_001.csv,invalid_discount;
19,10000013,2026-05-01 00:00:00,2026-05,46903,9028228874464,47896771526880,Strap kit ADV 7.5/8.5 Black 4-pcs,Footwear,Direct,Mobile,Gauteng,Johannesburg,2,499.0,0.0089,998.0,8.93,989.07,282.91,423.26,0,0.0,1,Card,Always On,shopify_public_catalog_plus_synthetic_orders,2026-07-17 21:39:19,bronze/leatt/orders/yyyy=2026/mm=07/orders_extract_001.csv,
20,10000013,2024-04-18 00:00:00,2024-04,74109,9028221305056,47896702419168,Sole 4.5/5.5 Moto - Pair,Footwear,Paid Social,Desktop,Northern Cape,Kimberley,2,1299.0,0.0354,2598.0,92.05,2505.95,769.51,966.93,0,0.0,2,Card,Adventure Social,shopify_public_catalog_plus_synthetic_orders,2026-07-17 21:39:19,bronze/leatt/orders/yyyy=2026/mm=07/orders_extract_001.csv,
21,10000014,2026-06-08 00:00:00,2026-06,32588,9028217962720,47896665948384,Gloves ADV HydraDri 7.5 Short,Gloves,Email,Mobile,Western Cape,Cape Town,1,1649.0,0.0263,1649.0,43.37,1605.63,730.02,875.61,0,0.0,5,Card,CRM Lifecycle,shopify_public_catalog_plus_synthetic_orders,2026-07-17 21:39:19,bronze/leatt/orders/yyyy=2026/mm=07/orders_extract_001.csv,
22,10000015,2026-04-23 00:00:00,2026-04,177845,9028233855200,47896840569056,Jacket ADV FlowTour 4.5 Short,Apparel,Paid Search,Mobile,Northern Cape,Kimberley,1,5399.0,0.012,5399.0,64.52,5334.48,2420.83,2913.65,0,0.0,1,Card,Always On,shopify_public_catalog_plus_synthetic_orders,2026-07-17 21:39:19,bronze/leatt/orders/yyyy=2026/mm=07/orders_extract_001.csv,
23,10000015,2025-01-24 00:00:00,2025-01,35701,9028214128864,47896619745504,Gloves MTB 1.0 GripR - Women,Gloves,Paid Search,Mobile,KwaZulu-Natal,Durban,2,399.0,0.0025,798.0,2.0,796.0,186.61,422.77,0,0.0,3,Instant EFT,Always On,shopify_public_catalog_plus_synthetic_orders,2026-07-17 21:39:19,bronze/leatt/orders/yyyy=2026/mm=07/orders_extract_001.csv,
24,10000016,2025-11-26 00:00:00,2025-11,97844,9028192764128,47896488706272,FirstTurn Tear-Off Kit for Velocity 6.5 Roll-Off,Goggles,Paid Search,Mobile,Western Cape,Cape Town,1,299.0,0.1217,299.0,36.39,262.61,151.55,111.06,0,0.0,2,Card,Peak Season,shopify_public_catalog_plus_synthetic_orders,2026-07-17 21:39:19,bronze/leatt/orders/yyyy=2026/mm=07/orders_extract_001.csv,
25,10000017,2025-03-14 00:00:00,2025-03,64635,9028207706336,47896562467040,Long Sleeve Shirt Core,Apparel,Paid Social,Mobile,KwaZulu-Natal,Durban,2,799.0,0.027,1598.0,43.17,1554.83,370.19,814.45,0,0.0,5,Payflex,Adventure Social,shopify_public_catalog_plus_synthetic_orders,2026-07-17 21:39:19,bronze/leatt/orders/yyyy=2026/mm=07/orders_extract_001.csv,
26,10000018,2025-06-21 00:00:00,2025-06,10887,9028232610016,47896822350048,Ride Kit MTB Gravity 1.0,Parts & Accessories,Paid Search,Desktop,Western Cape,Cape Town,1,1799.0,0.0376,1799.0,67.72,1731.28,734.0,997.27,0,0.0,2,Card,Always On,shopify_public_catalog_plus_synthetic_orders,2026-07-17 21:39:19,bronze/leatt/orders/yyyy=2026/mm=07/orders_extract_001.csv,
27,10000018,2024-12-31 00:00:00,2024-12,120292,9028234903776,47896857510112,Jersey MTB Trail 3.0,Apparel,Email,Mobile,WESTERN CAPE, Cape Town ,1,849.0,0.0485,849.0,41.18,807.82,366.4,441.42,0,0.0,1,Instant EFT,Peak Season,shopify_public_catalog_plus_synthetic_orders,2026-07-17 21:39:19,bronze/leatt/orders/yyyy=2026/mm=07/orders_extract_001.csv,standardisation_needed;
28,10000019,2024-03-21 00:00:00,2024-03,156172,9028207706336,47896562532576,Long Sleeve Shirt Core,Apparel,Organic Search,Mobile,Mpumalanga,Mbombela,1,799.0,0.0033,799.0,2.67,796.33,364.29,432.04,0,0.0,1,Card,Always On,shopify_public_catalog_plus_synthetic_orders,2026-07-17 21:39:19,bronze/leatt/orders/yyyy=2026/mm=07/orders_extract_001.csv,
29,10000020,2025-06-14 00:00:00,2025-06,155651,9028226941152,47896759632096,Knee & Shin Guard 3.0 EXT,Body Protection,Email,Mobile,Western Cape,Cape Town,1,1499.0,0.0387,1499.0,58.06,1440.94,752.28,688.65,0,0.0,4,Gift Card,CRM Lifecycle,shopify_public_catalog_plus_synthetic_orders,2026-07-17 21:39:19,bronze/leatt/orders/yyyy=2026/mm=07/orders_extract_001.csv,
30,10000021,2024-09-17 00:00:00,2024-09,24203,9028217471200,47896662343904,Jersey MTB Gravity 2.0 V22 - Women,Apparel,Organic Search,Desktop,Western Cape,Cape Town,3,349.0,0.0179,1047.0,18.79,1028.21,172.63,510.33,0,0.0,2,Payflex,Always On,shopify_public_catalog_plus_synthetic_orders,2026-07-17 21:39:19,bronze/leatt/orders/yyyy=2026/mm=07/orders_extract_001.csv,
31,10000021,2025-11-22 00:00:00,2025-11,117652,9028220387552,47896690065632,T-Shirt Core,Apparel,Paid Social,Mobile,Gauteng,Johannesburg,2,499.0,0.1994,998.0,198.99,799.01,232.59,333.83,0,0.0,3,Card,Peak Season,shopify_public_catalog_plus_synthetic_orders,2026-07-17 21:39:19,bronze/leatt/orders/yyyy=2026/mm=07/orders_extract_001.csv,
32,10000022,2025-10-02 00:00:00,2025-10,32099,9028207968480,47896564760800,Knee & Shin Guard Dual Axis Pro,Body Protection,Paid Social,Desktop,Gauteng,Johannesburg,1,2699.0,0.0036,2699.0,9.71,2689.29,1367.58,1321.71,0,0.0,3,Card,Adventure Social,shopify_public_catalog_plus_synthetic_orders,2026-07-17 21:39:19,bronze/leatt/orders/yyyy=2026/mm=07/orders_extract_001.csv,
33,10000023,2025-12-14 00:00:00,2025-12,137206,9028233068768,47896827134176,Glove ADV HydraDri 6.5,Gloves,Paid Search,Desktop,Western Cape,Cape Town,1,1799.0,0.2266,1799.0,407.65,1391.35,819.53,571.82,0,0.0,2,Gift Card,Peak Season,shopify_public_catalog_plus_synthetic_orders,2026-07-17 21:39:19,bronze/leatt/orders/yyyy=2026/mm=07/orders_extract_001.csv,
34,10000023,2026-02-11 00:00:00,2026-02,72792,9028216389856,47896651530464,Jacket ADV FlowTour 5.5 - Women,Apparel,Organic Search,Desktop,Gauteng,Johannesburg,1,7999.0,0.0066,7999.0,52.64,7946.36,3368.89,4577.46,0,0.0,4,Payflex,Always On,shopify_public_catalog_plus_synthetic_orders,2026-07-17 21:39:19,bronze/leatt/orders/yyyy=2026/mm=07/orders_extract_001.csv,
35,10000024,2024-11-14 00:00:00,2024-11,128349,9028234215648,47896845713632,Gloves MTB 3.0 Endurance,Gloves,Paid Search,Mobile,Western Cape,Cape Town,1,459.0,0.1882,459.0,86.37,372.63,202.27,170.37,0,0.0,2,Card,Peak Season,shopify_public_catalog_plus_synthetic_orders,2026-07-17 21:39:19,bronze/leatt/orders/yyyy=2026/mm=07/orders_extract_001.csv,
36,10000025,2024-04-21 00:00:00,2024-04,156549,9028197122272,47896499060960,Kidney Belt 3DF 3.5,Body Protection,Paid Search,Mobile,Gauteng,Johannesburg,2,1599.0,0.0127,3198.0,40.77,3157.23,834.83,1487.56,0,0.0,7,EFT,Always On,shopify_public_catalog_plus_synthetic_orders,2026-07-17 21:39:19,bronze/leatt/orders/yyyy=2026/mm=07/orders_extract_001.csv,
37,10000026,2025-01-02 00:00:00,2025-01,78047,9028219142368,47896676958432,Shorts MTB All Mountain 2.0 V24 - Women,Apparel,Direct,Mobile,Gauteng,Johannesburg,1,1189.0,0.016,1189.0,19.01,1169.99,556.46,613.53,0,0.0,1,Card,Always On,shopify_public_catalog_plus_synthetic_orders,2026-07-17 21:39:19,bronze/leatt/orders/yyyy=2026/mm=07/orders_extract_001.csv,
38,10000026,2024-05-18 00:00:00,2024-05,73060,9028235624672,47896872648928,Jersey MTB Enduro 4.0,Apparel,Paid Social,Mobile,Gauteng,Johannesburg,1,999.0,0.0522,999.0,52.1,946.9,464.62,482.28,0,0.0,4,Payflex,Adventure Social,shopify_public_catalog_plus_synthetic_orders,2026-07-17 21:39:19,bronze/leatt/orders/yyyy=2026/mm=07/orders_extract_001.csv,
39,10000027,2025-10-13 00:00:00,2025-10,125192,9028234477792,47896850170080,Jersey MTB Gravity 4.0,Apparel,Organic Search,Desktop,Gauteng,Johannesburg,2,999.0,0.0024,1998.0,4.86,1993.14,463.59,1065.95,1,1851.15,5,Card,Always On,shopify_public_catalog_plus_synthetic_orders,2026-07-17 21:39:19,bronze/leatt/orders/yyyy=2026/mm=07/orders_extract_001.csv,
40,10000028,2026-02-22 00:00:00,2026-02,89125,9028214882528,47896627675360,Gloves MTB 3.0 Lite,Gloves,Organic Search,Mobile,KwaZulu-Natal,Durban,1,999.0,0.0386,999.0,38.61,960.39,435.65,524.74,0,0.0,4,Card,Always On,shopify_public_catalog_plus_synthetic_orders,2026-07-17 21:39:19,bronze/leatt/orders/yyyy=2026/mm=07/orders_extract_001.csv,
41,10000028,2025-08-30 00:00:00,2025-08,137219,9028221108448,47896699273440,Jacket ADV DriTour 7.5,Apparel,Organic Search,Desktop,Western Cape,Cape Town,1,10799.0,0.0173,10799.0,186.36,10612.64,5219.91,5392.73,0,0.0,1,EFT,Always On,shopify_public_catalog_plus_synthetic_orders,2026-07-17 21:39:19,bronze/leatt/orders/yyyy=2026/mm=07/orders_extract_001.csv,
42,10000029,2025-02-11 00:00:00,2025-02,163928,9028211114208,47896591696096,Helmet MTB AllMtn 3.0,Helmet,Paid Search,Mobile,Western Cape,Cape Town,3,2799.0,0.0419,8397.0,352.01,8044.99,1582.04,3298.88,0,0.0,3,Instant EFT,Always On,shopify_public_catalog_plus_synthetic_orders,2026-07-17 21:39:19,bronze/leatt/orders/yyyy=2026/mm=07/orders_extract_001.csv,
43,10000030,2025-05-14 00:00:00,2025-05,67571,9028233756896,47896838734048,Jacket MTB HydraDri 2.0,Body Protection,Direct,Mobile,Gauteng,Johannesburg,2,1899.0,0.0208,3798.0,79.05,3718.95,1011.84,1695.26,0,0.0,2,EFT,Always On,shopify_public_catalog_plus_synthetic_orders,2026-07-17 21:39:19,bronze/leatt/orders/yyyy=2026/mm=07/orders_extract_001.csv,
44,10000031,2025-04-03 00:00:00,2025-04,162454,9028236378336,47896885559520,Jersey MTB Trail 6.0 Cargo - Long Sleeve,Apparel,Paid Search,Mobile,Western Cape,Cape Town,1,1699.0,0.0335,1699.0,56.95,1642.05,755.17,886.88,0,0.0,2,Card,Always On,shopify_public_catalog_plus_synthetic_orders,2026-07-17 21:39:19,bronze/leatt/orders/yyyy=2026/mm=07/orders_extract_001.csv,
45,10000031,2024-04-29 00:00:00,2024-04,93175,9028233396448,47896831623392,Shoes Flat 1.0 Hi,Footwear,Marketplace,Tablet,Western Cape,Cape Town,1,1199.0,0.0381,1199.0,45.7,1153.3,676.42,476.88,0,0.0,3,Card,Always On,shopify_public_catalog_plus_synthetic_orders,2026-07-17 21:39:19,bronze/leatt/orders/yyyy=2026/mm=07/orders_extract_001.csv,
46,10000032,2025-02-26 00:00:00,2025-02,142565,9028232478944,47896820875488,Shoes ProClip 6.0 Trail Boa,Footwear,Paid Search,Mobile,Gauteng,Johannesburg,2,3999.0,0.0422,7998.0,337.87,7660.13,2336.41,2987.3,0,0.0,2,Card,Always On,shopify_public_catalog_plus_synthetic_orders,2026-07-17 21:39:19,bronze/leatt/orders/yyyy=2026/mm=07/orders_extract_001.csv,
47,10000033,2025-12-29 00:00:00,2025-12,72784,9028225368288,47896749932768,Vest MTB Endurance 2.0,Body Protection,Organic Search,Mobile,Gauteng,Johannesburg,2,1189.0,0.1449,2378.0,344.55,2033.45,613.28,806.9,0,0.0,3,Payflex,Peak Season,shopify_public_catalog_plus_synthetic_orders,2026-07-17 21:39:19,bronze/leatt/orders/yyyy=2026/mm=07/orders_extract_001.csv,
48,10000034,2024-08-11 00:00:00,2024-08,58913,9028196172000,47896496406752,Strap kit Z-Frame - Pair,Body Protection,Organic Search,Desktop,Gauteng,Johannesburg,1,899.0,0.0115,899.0,10.33,888.67,472.68,415.99,0,0.0,5,Gift Card,Always On,shopify_public_catalog_plus_synthetic_orders,2026-07-17 21:39:19,bronze/leatt/orders/yyyy=2026/mm=07/orders_extract_001.csv,
49,10000034,2026-01-27 00:00:00,2026-01,22711,9028233658592,47896836636896,Jersey MTB Trail 3.0 - Women,Apparel,Paid Search,Desktop,KwaZulu-Natal,Durban,1,699.0,0.0308,699.0,21.55,677.45,323.8,353.65,1,523.34,3,Card,Always On,shopify_public_catalog_plus_synthetic_orders,2026-07-17 21:39:19,bronze/leatt/orders/yyyy=2026/mm=07/orders_extract_001.csv,
50,10000035,2026-04-27 00:00:00,2026-04,58857,9028214030560,47896617746656,Jersey MTB Endurance 5.0 Cargo - Women,Apparel,Paid Social,Mobile,Eastern Cape,Gqeberha,1,1599.0,0.0462,1599.0,73.94,1525.06,765.41,759.65,0,0.0,4,Card,Adventure Social,shopify_public_catalog_plus_synthetic_orders,2026-07-17 21:39:19,bronze/leatt/orders/yyyy=2026/mm=07/orders_extract_001.csv,
51,10000036,2026-03-24 00:00:00,2026-03,57037,9028200792288,47896512757984,Shorts MTB Enduro 3.0 V24,Apparel,Email,Mobile,Western Cape,Cape Town,1,1299.0,0.0798,1299.0,103.62,1195.38,594.98,600.39,0,0.0,2,Card,CRM Lifecycle,shopify_public_catalog_plus_synthetic_orders,2026-07-17 21:39:19,bronze/leatt/orders/yyyy=2026/mm=07/orders_extract_001.csv,
52,10000036,2024-07-22 00:00:00,2024-07,125541,9028213014752,47896609390816,Gloves MTB 1.0 GripR - Junior,Gloves,Paid Social,Mobile,Limpopo,Polokwane,5,499.0,0.0175,2495.0,43.75,2451.25,215.43,1374.1,0,0.0,2,EFT,Adventure Social,shopify_public_catalog_plus_synthetic_orders,2026-07-17 21:39:19,bronze/leatt/orders/yyyy=2026/mm=07/orders_extract_001.csv,
53,10000037,2024-05-10 00:00:00,2024-05,121650,9028218290400,47896669978848,Visor Moto 2.5 - v23,Helmet,Paid Social,Desktop,Northern Cape,Kimberley,2,599.0,0.0306,1198.0,36.64,1161.36,334.13,493.09,0,0.0,3,Card,Adventure Social,shopify_public_catalog_plus_synthetic_orders,2026-07-17 21:39:19,bronze/leatt/orders/yyyy=2026/mm=07/orders_extract_001.csv,
54,10000038,2025-09-11 00:00:00,2025-09,110509,9028219830496,47896683544800,,Apparel,Email,Mobile,Western Cape,Cape Town,1,899.0,0.0296,899.0,26.6,872.4,412.2,460.19,0,0.0,3,Card,CRM Lifecycle,shopify_public_catalog_plus_synthetic_orders,2026-07-17 21:39:19,bronze/leatt/orders/yyyy=2026/mm=07/orders_extract_001.csv,missing_product_title;
55,10000039,2025-07-09 00:00:00,2025-07,15350,9028212621536,47896605130976,Knee Protector Inserts 3DF CE Level 2 Pair,Body Protection,Paid Social,Mobile,Gauteng,Johannesburg,1,599.0,0.0332,599.0,19.89,579.11,332.62,246.49,0,0.0,7,Card,Adventure Social,shopify_public_catalog_plus_synthetic_orders,2026-07-17 21:39:19,bronze/leatt/orders/yyyy=2026/mm=07/orders_extract_001.csv,
56,10000039,2026-06-05 00:00:00,2026-06,4904,9028201349344,47896515608800,Thoracic Pack 4.5 2023,Body Protection,Paid Social,Mobile,Mpumalanga,Mbombela,1,1299.0,0.0247,1299.0,32.08,1266.92,635.86,631.07,0,0.0,2,Payflex,Adventure Social,shopify_public_catalog_plus_synthetic_orders,2026-07-17 21:39:19,bronze/leatt/orders/yyyy=2026/mm=07/orders_extract_001.csv,
57,10000040,2025-10-20 00:00:00,2025-10,13597,9028211769568,47896598184160,Jacket MTB HydraDri 5.0,Body Protection,Marketplace,Mobile,Western Cape,Cape Town,1,5299.0,0.0423,5299.0,224.05,5074.95,2816.29,2258.66,0,0.0,2,EFT,Always On,shopify_public_catalog_plus_synthetic_orders,2026-07-17 21:39:19,bronze/leatt/orders/yyyy=2026/mm=07/orders_extract_001.csv,
58,10000041,2026-02-27 00:00:00,2026-02,139474,9028214980832,47896630427872,Cheek Pads Moto 8.5/9.5 MTB 8.0 - v21,Helmet,Paid Search,Mobile,Mpumalanga,Mbombela,3,799.0,0.0132,2397.0,31.63,2365.37,428.68,1079.34,0,0.0,1,EFT,Always On,shopify_public_catalog_plus_synthetic_orders,2026-07-17 21:39:19,bronze/leatt/orders/yyyy=2026/mm=07/orders_extract_001.csv,
59,10000042,2025-03-18 00:00:00,2025-03,127412,9028236509408,47896894996704,Jersey MTB Trail 3.0 - Long Sleeve,Apparel,Direct,Mobile,Western Cape,Cape Town,-3,899.0,0.0037,2697.0,9.89,2687.11,430.7,1395.0,0,0.0,1,Instant EFT,Always On,shopify_public_catalog_plus_synthetic_orders,2026-07-17 21:39:19,bronze/leatt/orders/yyyy=2026/mm=07/orders_extract_001.csv,negative_quantity;
60,10000042,2025-06-27 00:00:00,2025-06,85827,9028222157024,47896714871008,Knee cup Z-Frame,Body Protection,Email,Mobile,Gauteng,Johannesburg,4,899.0,0.0208,3596.0,74.84,3521.16,455.92,1697.48,0,0.0,2,Gift Card,CRM Lifecycle,shopify_public_catalog_plus_synthetic_orders,2026-07-17 21:39:19,bronze/leatt/orders/yyyy=2026/mm=07/orders_extract_001.csv,
61,10000043,2025-01-08 00:00:00,2025-01,179162,9028222976224,47896722768096,Jersey MTB Gravity 2.0 V24,Apparel,Paid Social,Mobile,Gauteng,Johannesburg,1,749.0,0.0314,749.0,23.5,725.5,350.72,374.77,0,0.0,1,Payflex,Adventure Social,shopify_public_catalog_plus_synthetic_orders,2026-07-17 21:39:19,bronze/leatt/orders/yyyy=2026/mm=07/orders_extract_001.csv,
62,10000044,2025-11-18 00:00:00,2025-11,36883,9028217045216,47896658116832,Boot ADV HydraDri 7.5 Short,Footwear,Paid Search,Mobile,Gauteng,Johannesburg,1,4999.0,0.1041,4999.0,520.2,4478.8,2941.25,1537.55,0,0.0,2,Card,Peak Season,shopify_public_catalog_plus_synthetic_orders,2026-07-17 21:39:19,bronze/leatt/orders/yyyy=2026/mm=07/orders_extract_001.csv,
63,10000044,2025-12-01 00:00:00,2025-12,66846,9028233953504,47896842043616,Boot ADV X-Flow 7.5 Short,Footwear,Marketplace,Mobile,Eastern Cape,Gqeberha,1,4499.0,0.1369,4499.0,615.83,3883.17,2595.77,1287.41,1,3487.74,1,Payflex,Peak Season,shopify_public_catalog_plus_synthetic_orders,2026-07-17 21:39:19,bronze/leatt/orders/yyyy=2026/mm=07/orders_extract_001.csv,
64,10000045,2024-10-24 00:00:00,2024-10,113792,9028221894880,47896712478944,Gloves MTB 2.0 X-Flow,Gloves,Paid Social,Mobile,KwaZulu-Natal,Durban,3,559.0,0.0212,1677.0,35.58,1641.42,245.66,904.45,0,0.0,4,Card,Adventure Social,shopify_public_catalog_plus_synthetic_orders,2026-07-17 21:39:19,bronze/leatt/orders/yyyy=2026/mm=07/orders_extract_001.csv,
65,10000046,2024-03-08 00:00:00,2024-03,177325,9028236607712,47896898273504,Ride Kit Moto 3.5 V25,Parts & Accessories,Paid Search,Mobile,International,Windhoek,1,2199.0,0.0086,2199.0,18.92,2299.0,932.66,1247.42,0,0.0,2,Card,Always On,shopify_public_catalog_plus_synthetic_orders,2026-07-17 21:39:19,bronze/leatt/orders/yyyy=2026/mm=07/orders_extract_001.csv,revenue_math_mismatch;
